name,latitude,longitude
LIDL BEŽIGRAD,46.063797,14.506854
ŠMARTINSKI PARK,46.065206,14.529911
SAVSKO NASELJE 1-ŠMARTINSKA CESTA,46.062475,14.524321
ČRNUČE,46.102446,14.530213
VILHARJEVA CESTA,46.06005,14.51302
MASARYKOVA DDC,46.05763,14.514264
POGAČARJEV TRG-TRŽNICA,46.051093,14.507186
CANKARJEVA UL.-NAMA,46.052431,14.503257
ANTONOV TRG,46.041753,14.477016
PRUŠNIKOVA,46.090608,14.471637
TEHNOLOŠKI PARK,46.04843,14.461086
KOSEŠKI BAJER,46.068443,14.470913
TIVOLI,46.05952,14.4982
TRŽNICA MOSTE,46.055801,14.534156
GRUDNOVO NABREŽJE-KARLOVŠKA C.,46.045748,14.506196
LIDL-LITIJSKA CESTA,46.047689,14.547416
ŠPORTNI CENTER STOŽICE,46.08259,14.52016
ŠPICA,46.040213,14.512044
ROŠKA - STRELIŠKA,46.045,14.51846
BAVARSKI DVOR,46.05682,14.50551
STARA CERKEV,46.06342,14.494588
SITULA,46.059433,14.52051
ILIRSKA ULICA,46.053144,14.513479
LIDL - RUDNIK,46.020012,14.532479
KOPALIŠČE KOLEZIJA,46.042867,14.495239
POVŠETOVA - KAJUHOVA,46.051512,14.539272
DUNAJSKA C.-PS MERCATOR,46.074193,14.511134
CITYPARK,46.068805,14.546257
KOPRSKA ULICA,46.033408,14.482468
LIDL - VOJKOVA CESTA,46.07589,14.52011
POLJANSKA-POTOČNIKOVA,46.048982,14.522709
POVŠETOVA-GRABLOVIČEVA,46.051863,14.530349
PARK NAVJE-ŽELEZNA CESTA,46.06361,14.51315
ZALOG,46.06043,14.613797
CESTA NA ROŽNIK,46.053241,14.486206
HOFER-KAJUHOVA,46.056405,14.540901
DUNAJSKA C.-PS PETROL,46.065136,14.509112
STUDENEC,46.054615,14.576031
PARKIRIŠČE NUK 2-FF,46.046377,14.501256
BRATOVŠEVA PLOŠČAD,46.08929,14.513751
KONGRESNI TRG-ŠUBIČEVA ULICA,46.050388,14.504623
BS4-STOŽICE,46.086761,14.514151
GERBIČEVA - ŠPORTNI PARK SVOBODA,46.039384,14.485458
ŽIVALSKI VRT,46.052454,14.472149
VOKA - SLOVENČEVA,46.075207,14.504734
BTC CITY/DVORANA A,46.065297,14.543996
TRNOVO,46.03784,14.50001
P+R BARJE,46.02749,14.49958
ROŽNA DOLINA-ŠKRABČEVA UL.,46.051439,14.49273
KINO ŠIŠKA,46.06928,14.48971
BRODARJEV TRG,46.054398,14.553319
ZALOŠKA C.-GRABLOVIČEVA C.,46.05441,14.52978
DOLENJSKA C. - STRELIŠČE,46.038866,14.517605
ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,46.053047,14.545125
SOSESKA NOVO BRDO,46.045617,14.462281
TRŽNICA KOSEZE,46.074315,14.475483
ALEJA - CELOVŠKA CESTA,46.077302,14.482581
MERCATOR CENTER ŠIŠKA,46.087079,14.475439
GH ŠENTPETER-NJEGOŠEVA C.,46.05257,14.51928
HOFER - POLJE,46.053718,14.589284
VIŠKO POLJE,46.046189,14.469037
BONIFACIJA,46.039641,14.472664
P + R DOLGI MOST,46.037003,14.465229
DRAVLJE,46.07984,14.479952
POLJE,46.05722,14.583537
SUPERNOVA LJUBLJANA - RUDNIK,46.021586,14.536745
SREDNJA FRIZERSKA ŠOLA,46.080522,14.491439
TRG OF-KOLODVORSKA UL.,46.057421,14.510265
TRG MDB,46.047565,14.495687
TRŽAŠKA C.-ILIRIJA,46.044629,14.486699
PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,46.051367,14.506542
MERCATOR MARKET - CELOVŠKA C. 163,46.073264,14.485942
SAVSKO NASELJE 2-LINHARTOVA CESTA,46.064546,14.518013
BREG,46.046498,14.505148
BTC CITY ATLANTIS,46.063081,14.547851
IKEA,46.06488,14.53833
MIKLOŠIČEV PARK,46.054168,14.50706
BARJANSKA C.-CENTER STAREJŠIH TRNOVO,46.04081,14.49951
LEK - VEROVŠKOVA,46.076856,14.500222
AMBROŽEV TRG,46.049877,14.516308
VOJKOVA - GASILSKA BRIGADA,46.068727,14.516858
RAKOVNIK,46.036284,14.522948
PREGLOV TRG,46.054554,14.55908
PLEČNIKOV STADION,46.06942,14.51052
